"word","score"
"afan",-0.135280208599111
"horsforth",-0.135278840984535
"charts",-0.13527838162022
"innsworth",-0.135262358158439
"southbound",-0.135250481973774
"pv",-0.135191905890803
"bioethanol",-0.135174514689857
"kirknewton",-0.135158661896162
"wednesbury",-0.135098409436777
"smartcards",-0.135068058759323
"optical",-0.135046496580019
"elland",-0.135026890776201
"acorn",-0.135018533959966
"uel",-0.135003829874416
"snappily",-0.134988405990963
"biofuel",-0.134951022049515
"ukef",-0.134939687692714
"helix",-0.13490888815395
"shopmobility",-0.134906242049039
"customised",-0.134869222917552
"sensors",-0.134849100403683
"minibuses",-0.134834840170749
"unsold",-0.134831553859465
"egnos",-0.134823140290313
"railhead",-0.134819205774772
"berths",-0.13481738991174
"inn",-0.134812858066718
"aintree",-0.134811352938982
"pont",-0.134786937902199
"storey",-0.134765376806075
"archway",-0.134756325080395
"lithium",-0.134749100692158
"realigned",-0.134739447021191
"abutting",-0.134737726896782
"headland",-0.13472935644861
"odeon",-0.134706313416925
"wilton",-0.134651994871764
"replacement",-0.134640969765255
"alstom",-0.134617799449205
"ctf",-0.134603260236789
"phase",-0.134576938121199
"reactors",-0.134548190369501
"lifecycle",-0.134540603704361
"racks",-0.134534933450158
"polymers",-0.134518403043362
"roundabout",-0.134515488747528
"billing",-0.134512055210463
"electrically",-0.134476969113488
"treherbert",-0.134459159843815
"dotted",-0.13432231020752
"lcr",-0.134310863208705
"handsacre",-0.134307981308152
"haircuts",-0.134292995991337
"optic",-0.13426308678511
"cashpoint",-0.134260621108474
"antenna",-0.134250958860431
"thermostatic",-0.134229850886798
"untangling",-0.134203658070446
"netto",-0.134161434296194
"trundling",-0.134144752420916
"standardising",-0.134143545772081
"rotary",-0.134128153992239
"sandwich",-0.134120778996204
"entrances",-0.134109863022298
"factory",-0.134090549485482
"blf",-0.134017907086208
"ship",-0.134002711785155
"quayside",-0.134001144591619
"crags",-0.133997984398532
"mediacity",-0.133980548951382
"cougar",-0.133938854431226
"scanning",-0.133858295481341
"converting",-0.133831056716685
"deck",-0.133805622905845
"residences",-0.133778754767241
"bales",-0.133694634118071
"blandford",-0.133681925317689
"barge",-0.133666667696208
"workstream",-0.133600754152152
"skirting",-0.133508857897868
"cif",-0.133491353729129
"tops",-0.133476302854688
"organics",-0.133461086609944
"plasterboard",-0.133442944767138
"volvo",-0.133440540761578
"optometry",-0.133359816515697
"transporters",-0.133346213487875
"horseferry",-0.133323092260966
"wytch",-0.133293220527272
"grantown",-0.133283001764417
"lochs",-0.133278432300629
"ski",-0.133234873479611
"fishery",-0.133219357267069
"smart",-0.133198873618861
"larkhill",-0.133197574397673
"tw",-0.133183579075489
"acreage",-0.133158539611445
"meter",-0.1331197034482
"armouries",-0.1331148964983
"multimodal",-0.133052620600515
"franchised",-0.132962959907649
"promenade",-0.132959927357668
"stocking",-0.132939067215772
"farringdon",-0.132935881825078
"y",-0.132929734639457
"coleshill",-0.132927706637248
"longbenton",-0.132898075524814
"width",-0.132886469298198
"detachments",-0.132872122877359
"substations",-0.132857925190171
"vineyard",-0.132845308740162
"aca",-0.132818670698268
"approvals",-0.132773441979875
"polar",-0.132738208057494
"copernicus",-0.13271855452744
"stationers",-0.132695093707349
"commences",-0.13268585311685
"merlins",-0.132664119178867
"ep",-0.132636707943374
"ucl",-0.132636302851994
"aviemore",-0.132628819125126
"ated",-0.132619152704589
"premises",-0.132608054258903
"metrowest",-0.132595462480429
"holdings",-0.132560073774764
"fleetlands",-0.132540257356768
"glazing",-0.132517466570047
"cranes",-0.132512486595124
"thoroughfare",-0.132509607137571
"srb",-0.132500626356042
"slices",-0.132479789005992
"wisley",-0.132473151559213
"marlborough",-0.132452216022548
"murton",-0.132449638659736
"millbay",-0.132434411515972
"diagrams",-0.132380008764742
"plex",-0.132373770127644
"checker",-0.132338653671852
"kingsbury",-0.132315829496913
"trawls",-0.132277260448984
"loop",-0.132260248921321
"wissington",-0.132243462028394
"laban",-0.132226803501619
"caravan",-0.132219790827173
"boat",-0.132196074729508
"meridian",-0.132180489427398
"dishforth",-0.132154451956072
"offshore",-0.132123362527955
"supplier",-0.132114516117876
"travelator",-0.132077963770176
"caledonian",-0.132059610560217
"enhancements",-0.132022444765492
"mullard",-0.132018697132345
"sandfields",-0.132012660561513
"borthwick",-0.131985846128366
"bramham",-0.131953727258928
"band",-0.1319504656421
"ccus",-0.131928972685661
"rothesay",-0.131884995792704
"fridge",-0.131874215011257
"bsi",-0.131864488148632
"swanscombe",-0.131825331259784
"specs",-0.131811495583144
"pipework",-0.131751276362525
"treliske",-0.131730709549761
"andover",-0.131713520659509
"rocs",-0.131711754242972
"cinema",-0.131704505459594
"corgi",-0.131653833796613
"nickel",-0.131647032573525
"colindale",-0.131643360136114
"pods",-0.131614897053473
"trailer",-0.131602523017074
"parcs",-0.131577878888028
"helipad",-0.131577521914333
"flexi",-0.131572781328187
"thermometers",-0.13156902756983
"locomotive",-0.131564629431308
"standish",-0.131539686074979
"labs",-0.131446958463298
"biotech",-0.131444505532439
"puffin",-0.131439947237091
"purchase",-0.131391851879128
"trinity",-0.131364944996204
